,Country,Model,Price,Km,Year,Power_Hd,Fuel,Gearbox,CO2,Consumption
0,FR,MINI Cooper SE,5500.0,186000 ,2010,120 hp,Gasoline,Manual,129 ,- (
1,FR,MINI Cooper S,7000.0,109700 ,2011,184 hp,Gasoline,Manual,136 ,5.8 
2,FR,MINI One D,12890.0,106402 ,2018,- hp,Diesel,Manual,- (,- (
3,FR,MINI Cooper,13490.0,66838 ,2013,- hp,Gasoline,Manual,- (,- (
4,FR,MINI One,13490.0,33965 ,2016,- hp,Gasoline,Manual,- (,- (
5,FR,MINI Cooper D,13950.0,106245 ,2014,114 hp,Diesel,Manual,129 ,- (
6,FR,MINI Cooper D,13990.0,83113 ,2014,- hp,Diesel,Manual,- (,- (
7,FR,MINI Cooper,14400.0,48164 ,2014,137 hp,Gasoline,Manual,105 ,- (
8,FR,MINI One,14490.0,75153 ,2018,- hp,Gasoline,Manual,- (,- (
9,FR,MINI Cooper,15390.0,57294 ,2015,136 hp,Gasoline,Manual,109 ,4.7 
10,FR,MINI One D,15499.0,59273 ,2018,97 hp,Diesel,Manual,97 ,- (
11,FR,MINI Cooper,15500.0,74200 ,2016,136 hp,Gasoline,Automatic,112 ,4 
12,FR,MINI One,15990.0,16779 ,2019,- hp,Gasoline,Manual,122 ,- (
13,FR,MINI One D,16990.0,39000 ,2019,95 hp,Diesel,Manual,99 ,3.8 
14,FR,MINI Cooper,16990.0,24580 ,2016,- hp,Gasoline,Manual,- (,- (
15,FR,MINI Cooper D,17499.0,58703 ,2015,- hp,Diesel,Manual,- (,- (
16,FR,MINI Cooper D,17500.0,87798 ,2018,- hp,Diesel,Manual,- (,- (
17,FR,MINI Cooper,17800.0,34500 ,2016,137 hp,Gasoline,Automatic,109 ,- (
18,FR,MINI Cooper S,18490.0,59000 ,2015,192 hp,Gasoline,Automatic,123 ,5.3 
19,FR,MINI Cooper,18490.0,96451 ,2018,- hp,Gasoline,Automatic,- (,- (
20,FR,MINI Cooper D,18990.0,47421 ,2016,- hp,Diesel,Manual,100 ,- (
21,FR,MINI One D,18990.0,83777 ,2017,118 hp,Diesel,Automatic,107 ,- (
22,FR,MINI Cooper S,19675.0,97294 ,2016,- hp,Gasoline,Automatic,- (,- (
23,FR,MINI John Cooper Works,19890.0,81435 ,2019,- hp,Gasoline,Manual,- (,- (
24,FR,MINI Cooper,19890.0,64324 ,2017,- hp,Gasoline,Automatic,114 ,- (
25,FR,MINI One,19890.0,39185 ,2018,- hp,Gasoline,Manual,- (,- (
26,FR,MINI Cooper D,19990.0,29894 ,2017,- hp,Diesel,Manual,- (,- (
27,FR,MINI Cooper,20399.0,58172 ,2018,- hp,Gasoline,Manual,- (,- (
28,FR,MINI One,20490.0,39921 ,2018,- hp,Gasoline,Automatic,- (,- (
29,FR,MINI Cooper S,20499.0,65940 ,2017,194 hp,Gasoline,Manual,139 ,- (
30,FR,MINI One,20690.0,32806 ,2018,- hp,Gasoline,Manual,- (,- (
31,FR,MINI Cooper,20990.0,58851 ,2018,- hp,Gasoline,Manual,- (,- (
32,FR,MINI Cooper S,20999.0,85095 ,2016,194 hp,Gasoline,Automatic,125 ,- (
33,FR,MINI Cooper D,22399.0,31006 ,2018,- hp,Diesel,Manual,- (,- (
34,FR,MINI Cooper D,22490.0,55050 ,2019,- hp,Diesel,Automatic,- (,- (
35,FR,MINI Cooper SD,22900.0,74788 ,2018,- hp,Diesel,Automatic,- (,- (
36,FR,MINI John Cooper Works,22990.0,73944 ,2016,231 hp,Gasoline,Automatic,150 ,6.6 
37,FR,MINI One,23499.0,9160 ,2020,103 hp,Gasoline,Manual,138 ,- (
38,FR,MINI John Cooper Works,23690.0,16800 ,2018,102 hp,Gasoline,Manual,145 ,5 
39,FR,MINI Cooper,23890.0,73752 ,2018,- hp,Gasoline,Manual,- (,- (
40,FR,MINI Cooper,23900.0,32400 ,2020,136 hp,Gasoline,Automatic,109 ,4.8 
41,FR,MINI Cooper,23999.0,46265 ,2017,- hp,Gasoline,Automatic,- (,- (
42,FR,MINI Cooper,24990.0,21362 ,2020,- hp,Gasoline,Automatic,- (,- (
43,FR,MINI Cooper D,25290.0,40865 ,2017,- hp,Diesel,Manual,- (,- (
44,FR,MINI Cooper,25499.0,14616 ,2019,- hp,Gasoline,Automatic,- (,- (
45,FR,MINI John Cooper Works,25990.0,81711 ,2018,- hp,Gasoline,Automatic,- (,- (
46,FR,MINI John Cooper Works,26290.0,37567 ,2016,- hp,Gasoline,Automatic,133 ,- (
